id,name,parent,parent_id,direct_students,total_descendants
20.16.4,Seokbin Kang,Jon Froehlich,20.16,0,0
20.16.5,Manaswi Saha,Jon Froehlich,20.16,0,0
20.16.6,Liang He,Jon Froehlich,20.16,2,2
20.16.6.1,Yili Wen,Liang He,20.16.6,0,0
20.16.6.2,Difan Jia,Liang He,20.16.6,0,0
20.16.7,Dhruv Jain,Jon Froehlich,20.16,4,4
20.16.7.1,Jeremy Huang,Dhruv Jain,20.16.7,0,0
20.16.7.2,Xinyun Cao,Dhruv Jain,20.16.7,0,0
20.16.7.3,Sidharth,Dhruv Jain,20.16.7,0,0
20.16.7.4,Veronica Pimenova,Dhruv Jain,20.16.7,0,0
20.16.8,Chu Li,Jon Froehlich,20.16,0,0
20.16.9,Xia Su,Jon Froehlich,20.16,0,0
20.16.10,Jaewook (Jae) Lee,Jon Froehlich,20.16,0,0
20.16.11,Daniel Campos Zamora,Jon Froehlich,20.16,0,0
20.16.12,Arnavi Chheda-Kothary,Jon Froehlich,20.16,0,0
20.16.13,Jared Hwang,Jon Froehlich,20.16,0,0
20.17,T. Scott Saponas,James Landay,20,0,0
20.18,Susumu Harada,James Landay,20,0,0
20.19,Katherine Everitt,James Landay,20,0,0
20.20,Richard Davis,James Landay,20,2,5
20.20.1,Kenny Choo Tsu Wei,Richard Davis,20.20,3,3
20.20.1.1,Kellie Sim Yu Hui,Kenny Choo Tsu Wei,20.20.1,0,0
20.20.1.2,Weiyan Shi,Kenny Choo Tsu Wei,20.20.1,0,0
20.20.1.3,Pannapat “Apple” Chanpaisaeng,Kenny Choo Tsu Wei,20.20.1,0,0
20.20.2,Camellia Zakaria,Richard Davis,20.20,0,0
20.21,Mark W. Newman,James Landay,20,13,13
20.21.1,Tao Dong,Mark W. Newman,20.21,0,0
20.21.2,Yung-Ju “Stanley” Chang,Mark W. Newman,20.21,0,0
20.21.3,Rayoung Yang,Mark W. Newman,20.21,0,0
20.21.4,Gaurav Paruthi,Mark W. Newman,20.21,0,0
20.21.5,Chuan-che “Jeff” Huang,Mark W. Newman,20.21,0,0
20.21.6,Shriti Raj,Mark W. Newman,20.21,0,0
20.21.7,Meghan Clark,Mark W. Newman,20.21,0,0
20.21.8,Xinghui Yan,Mark W. Newman,20.21,0,0
20.21.9,Yuxuan Li,Mark W. Newman,20.21,0,0
20.21.10,Yoonjeong Cha,Mark W. Newman,20.21,0,0
20.21.11,Soo Ji Choi,Mark W. Newman,20.21,0,0
20.21.12,Rongqi (Roxanne) Bei,Mark W. Newman,20.21,0,0
20.21.13,Ka I Chan,Mark W. Newman,20.21,0,0
20.22,James Lin,James Landay,20,0,0
20.23,Jason Hong,James Landay,20,14,65
20.23.1,Karen Tang,Jason Hong,20.23,0,0
20.23.2,Duen Horng (Polo) Chau,Jason Hong,20.23,21,25
20.23.2.1,Acar Tamersoy,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.2,Robert Pienta,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.3,Charles D. (Chad) Stolper,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.4,Minsuk Kahng,Duen Horng (Polo) Chau,20.23.2,2,2
20.23.2.4.1,Md Montaser Hamid,Minsuk Kahng,20.23.2.4,0,0
20.23.2.4.2,Eric Slyman,Minsuk Kahng,20.23.2.4,0,0
20.23.2.5,Shang-Tse Chen,Duen Horng (Polo) Chau,20.23.2,2,2
20.23.2.5.1,Bo-Han Kung,Shang-Tse Chen,20.23.2.5,0,0
20.23.2.5.2,Hsuan Su,Shang-Tse Chen,20.23.2.5,0,0
20.23.2.6,Fred Hohman,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.7,Nilaksh Das,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.8,Scott Freitas,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.9,Haekyu Park,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.10,Austin Wright,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.11,Zijie (Jay) Wang,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.12,Rahul Duggal,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.13,Seongmin Lee,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.14,Ben Hoover,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.15,ShengYun (Anthony) Peng,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.16,Matthew Hull,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.17,Alec Helbling,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.18,Mansi Phute,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.19,Aeree Cho,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.20,Alex Yang,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.2.21,Alex Greenhalgh,Duen Horng (Polo) Chau,20.23.2,0,0
20.23.3,Guang Xiang,Jason Hong,20.23,0,0
20.23.4,Jialiu Lin,Jason Hong,20.23,0,0
20.23.5,Shahriyar Amini,Jason Hong,20.23,0,0
20.23.6,Eiji Hayashi,Jason Hong,20.23,0,0
20.23.7,Jason Wiese,Jason Hong,20.23,9,9
20.23.7.1,Jimmy Moore,Jason Wiese,20.23.7,0,0
20.23.7.2,Kazi Sinthia Kabir,Jason Wiese,20.23.7,0,0
20.23.7.3,Ahmad Alsaleem,Jason Wiese,20.23.7,0,0
20.23.7.4,Tamanna Motahar,Jason Wiese,20.23.7,0,0
20.23.7.5,Joshua Jared Dawson,Jason Wiese,20.23.7,0,0
20.23.7.6,Jordan Pyper,Jason Wiese,20.23.7,0,0
20.23.7.7,Rebecca Moore,Jason Wiese,20.23.7,0,0
